"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"777_at",0.153480404130239,5.45512151865372,4.86321445577615,1.6138790217093e-06,0.0239271766302427,4.86488949141915
"26025_at",-0.181835946899378,4.19741834384496,-4.81786999004569,2.00410196663475e-06,0.0239271766302427,4.66589914392448
"112268124_at",0.106437938791534,5.05467733434112,4.69240095461074,3.61698372580617e-06,0.0239271766302427,4.12399875851676
"51559_at",0.088633562272505,4.95151087507332,4.65219022031985,4.35851846848795e-06,0.0239271766302427,3.95304910224827
"9524_at",-0.0932976013434595,9.18842449615115,-4.65034359876392,4.39586614155279e-06,0.0239271766302427,3.94523031084535
"9693_at",0.120829667723183,7.23482296716475,4.6063534210986,5.3821683037391e-06,0.0239271766302427,3.75979924346714
"58484_at",0.158807331218702,6.68770832607107,4.59437703118664,5.68553706547062e-06,0.0239271766302427,3.70959095945353
"203228_at",0.130216677822501,8.46082133335594,4.49947118124311,8.74303243414482e-06,0.0264660384321317,3.31590428705798
"166_at",-0.120845465793492,10.3410245260506,-4.49662629609308,8.85552327408084e-06,0.0264660384321317,3.30421817615575
"692099_at",-0.199624242223418,5.69146888694316,-4.49341859911201,8.98402472321928e-06,0.0264660384321317,3.29104976595072
"3842_at",0.0767186001114662,8.38405362186291,4.3798226150068,1.48814813070537e-05,0.036096001090244,2.8302216964017
"23118_at",0.0505254893806511,8.05514207620784,4.36700277433855,1.57430089931106e-05,0.036096001090244,2.77889020129181
"1269_at",-0.110133188902646,6.32486910793199,-4.3180549194923,1.9492170427247e-05,0.036096001090244,2.58416381926361
"8934_at",-0.0750382629628854,7.60512235259929,-4.31103825917567,2.00949884117071e-05,0.036096001090244,2.55641426543326
"79572_at",0.135810468909171,7.31691494787718,4.29436773855997,2.15994463401565e-05,0.036096001090244,2.49065111423166
"2992_at",0.124160809965112,6.96997141808799,4.29288207329396,2.17386231910869e-05,0.036096001090244,2.48480166421414
"3134_at",-0.0667042623696187,8.80842380964921,-4.28294489206231,2.26918007642435e-05,0.036096001090244,2.44572404977506
"28712_at",-0.190579161821467,7.53462497999159,-4.27123908399065,2.38658427755695e-05,0.036096001090244,2.39979777213889
"107986182_at",-0.205710195265212,3.65516880442633,-4.26748821143094,2.42541522696563e-05,0.036096001090244,2.38510605247132
"646309_at",0.0867775751924336,11.3512903460976,4.25123941959079,2.60070624413375e-05,0.036096001090244,2.32159811289853
"284459_at",-0.066334990955373,6.15392998941889,-4.24786735409805,2.63856861496605e-05,0.036096001090244,2.30844632296554
"6723_at",-0.0987743983856767,8.77301110885571,-4.23325005953308,2.80886261336408e-05,0.036096001090244,2.25154638095387
"79073_at",-0.0908178172480106,8.62115504024018,-4.22975164517073,2.85114792055736e-05,0.036096001090244,2.23795498462534
"221188_at",-0.121254696436077,7.50516888384231,-4.22058061147189,2.96489972252124e-05,0.036096001090244,2.20237432929065
"28987_at",-0.0726902673271954,7.64182301953779,-4.2017933011716,3.21158551638131e-05,0.036096001090244,2.12970708429246
"83857_at",0.471999818014972,5.26948129798578,4.19588090601818,3.29318359864289e-05,0.036096001090244,2.10690020541919
"100289635_at",-0.165396194838082,5.23826030315704,-4.19472651719356,3.30934446055125e-05,0.036096001090244,2.10245063039455
"64168_at",0.16733723941022,3.74593696733579,4.18621686104058,3.43082939178801e-05,0.036096001090244,2.0696850096466
"57126_at",0.442865267529197,7.16726064419698,4.17106888630987,3.6576721721557e-05,0.0364373991863748,2.01151057366745
"222235_at",0.156408719325133,5.9318322298766,4.15057501752624,3.98739954016905e-05,0.0364373991863748,1.93311457040813
"54987_at",-0.0878215578674289,8.61557923728957,-4.12881509228851,4.36839736558244e-05,0.0364373991863748,1.85026468768129
"340204_at",-0.081199216779098,4.11289476998047,-4.12771921163148,4.38847398304943e-05,0.0364373991863748,1.84610278610155
"55294_at",0.0804720907680519,6.64976470159977,4.12556565665905,4.4281834215995e-05,0.0364373991863748,1.83792704810206
"58528_at",0.100065916061709,6.59647497734453,4.11236757549889,4.67911423854685e-05,0.0364373991863748,1.7879078762394
"101927415_at",-0.129786577084192,5.57785944835444,-4.11032670304898,4.71910438595533e-05,0.0364373991863748,1.78018640219896
"9760_at",-0.131658412034055,7.63301817746354,-4.1069885213243,4.7852165997556e-05,0.0364373991863748,1.76756428384408
